error,rounds
1,0.234925
5,0.588237
9,0.581293
13,0.574686
17,0.568428
21,0.562529
25,0.556991
29,0.551816
33,0.546998
37,0.542531
41,0.538404
45,0.534605
49,0.531118
53,0.527927
57,0.525016
61,0.522366
65,0.519959
69,0.517779
73,0.515807
77,0.514027
81,0.512423
85,0.510979
89,0.509682
93,0.508517
97,0.507472
101,0.506536
105,0.505698
109,0.504949
113,0.504279
117,0.50368
121,0.503145
125,0.502668
129,0.502242
133,0.501862
137,0.501523
141,0.501221
145,0.500952
149,0.500712
153,0.500497
157,0.500306
161,0.500136
165,0.499984
169,0.499849
173,0.499728
177,0.49962
181,0.499524
185,0.499437
189,0.499361
193,0.499292
197,0.49923
201,0.499175
205,0.499125
209,0.499081
213,0.499041
217,0.499005
221,0.498973
225,0.498944
229,0.498917
233,0.498893
237,0.498872
241,0.498852
245,0.498834
249,0.498817
253,0.498802
257,0.498788
261,0.498776
265,0.498764
269,0.498753
273,0.498743
277,0.498733
281,0.498724
285,0.498716
289,0.498708
293,0.4987
297,0.498693
301,0.498686
305,0.49868
309,0.498673
313,0.498667
317,0.498661
321,0.498655
325,0.49865
329,0.498644
333,0.498639
337,0.498634
341,0.498629
345,0.498624
349,0.498619
353,0.498614
357,0.498609
361,0.498604
365,0.498599
369,0.498594
373,0.49859
377,0.498585
381,0.49858
385,0.498575
389,0.498571
393,0.498566
397,0.498561
401,0.498557
405,0.498552
409,0.498548
413,0.498543
417,0.498538
421,0.498534
425,0.498529
429,0.498524
433,0.49852
437,0.498515
441,0.49851
445,0.498506
449,0.498501
453,0.498496
457,0.498491
461,0.498487
465,0.498482
469,0.498477
473,0.498472
477,0.498468
481,0.498463
485,0.498458
489,0.498453
493,0.498448
497,0.498444
501,0.498439
505,0.498434
509,0.498429
513,0.498424
517,0.498419
521,0.498414
525,0.498409
529,0.498405
533,0.4984
537,0.498395
541,0.49839
545,0.498385
549,0.49838
553,0.498375
557,0.49837
561,0.498365
565,0.49836
569,0.498355
573,0.498349
577,0.498344
581,0.498339
585,0.498334
589,0.498329
593,0.498324
597,0.498319
601,0.498314
605,0.498308
609,0.498303
613,0.498298
617,0.498293
621,0.498288
625,0.498282
629,0.498277
633,0.498272
637,0.498266
641,0.498261
645,0.498256
649,0.49825
653,0.498245
657,0.49824
661,0.498234
665,0.498229
669,0.498224
673,0.498218
677,0.498213
681,0.498207
685,0.498202
689,0.498196
693,0.498191
697,0.498185
701,0.49818
705,0.498174
709,0.498169
713,0.498163
717,0.498157
721,0.498152
725,0.498146
729,0.498141
733,0.498135
737,0.498129
741,0.498124
745,0.498118
749,0.498112
753,0.498107
757,0.498101
761,0.498095
765,0.498089
769,0.498083
773,0.498078
777,0.498072
781,0.498066
785,0.49806
789,0.498054
793,0.498048
797,0.498042
801,0.498037
805,0.498031
809,0.498025
813,0.498019
817,0.498013
821,0.498007
825,0.498001
829,0.497995
833,0.497989
837,0.497983
841,0.497977
845,0.49797
849,0.497964
853,0.497958
857,0.497952
861,0.497946
865,0.49794
869,0.497933
873,0.497927
877,0.497921
881,0.497915
885,0.497909
889,0.497902
893,0.497896
897,0.49789
901,0.497883
905,0.497877
909,0.497871
913,0.497864
917,0.497858
921,0.497851
925,0.497845
929,0.497838
933,0.497832
937,0.497826
941,0.497819
945,0.497812
949,0.497806
953,0.497799
957,0.497793
961,0.497786
965,0.49778
969,0.497773
973,0.497766
977,0.49776
981,0.497753
985,0.497746
989,0.497739
993,0.497733
997,0.497726
1001,0.497719
1005,0.497712
1009,0.497706
1013,0.497699
1017,0.497692
1021,0.497685
1025,0.497678
1029,0.497671
1033,0.497664
1037,0.497657
1041,0.49765
1045,0.497643
1049,0.497636
1053,0.497629
1057,0.497622
1061,0.497615
1065,0.497608
1069,0.497601
1073,0.497594
1077,0.497587
1081,0.49758
1085,0.497572
1089,0.497565
1093,0.497558
1097,0.497551
1101,0.497543
1105,0.497536
1109,0.497529
1113,0.497522
1117,0.497514
1121,0.497507
1125,0.497499
1129,0.497492
1133,0.497485
1137,0.497477
1141,0.49747
1145,0.497462
1149,0.497455
1153,0.497447
1157,0.49744
1161,0.497432
1165,0.497425
1169,0.497417
1173,0.497409
1177,0.497402
1181,0.497394
1185,0.497386
1189,0.497379
1193,0.497371
1197,0.497363
1201,0.497355
1205,0.497347
1209,0.49734
1213,0.497332
1217,0.497324
1221,0.497316
1225,0.497308
1229,0.4973
1233,0.497292
1237,0.497284
1241,0.497276
1245,0.497268
1249,0.49726
1253,0.497252
1257,0.497244
1261,0.497236
1265,0.497228
1269,0.49722
1273,0.497212
1277,0.497203
1281,0.497195
1285,0.497187
1289,0.497179
1293,0.49717
1297,0.497162
1301,0.497154
1305,0.497145
1309,0.497137
1313,0.497129
1317,0.49712
1321,0.497112
1325,0.497103
1329,0.497095
1333,0.497086
1337,0.497078
1341,0.497069
1345,0.497061
1349,0.497052
1353,0.497043
1357,0.497035
1361,0.497026
1365,0.497017
1369,0.497009
1373,0.497
1377,0.496991
1381,0.496982
1385,0.496973
1389,0.496965
1393,0.496956
1397,0.496947
1401,0.496938
1405,0.496929
1409,0.49692
1413,0.496911
1417,0.496902
1421,0.496893
1425,0.496884
1429,0.496875
1433,0.496866
1437,0.496856
1441,0.496847
1445,0.496838
1449,0.496829
1453,0.49682
1457,0.49681
1461,0.496801
1465,0.496792
1469,0.496782
1473,0.496773
1477,0.496764
1481,0.496754
1485,0.496745
1489,0.496735
1493,0.496726
1497,0.496716
1501,0.496707
1505,0.496697
1509,0.496687
1513,0.496678
1517,0.496668
1521,0.496658
1525,0.496649
1529,0.496639
1533,0.496629
1537,0.496619
1541,0.49661
1545,0.4966
1549,0.49659
1553,0.49658
1557,0.49657
1561,0.49656
1565,0.49655
1569,0.49654
1573,0.49653
1577,0.49652
1581,0.49651
1585,0.4965
1589,0.49649
1593,0.496479
1597,0.496469
1601,0.496459
1605,0.496449
1609,0.496438
1613,0.496428
1617,0.496418
1621,0.496407
1625,0.496397
1629,0.496386
1633,0.496376
1637,0.496365
1641,0.496355
1645,0.496344
1649,0.496334
1653,0.496323
1657,0.496313
1661,0.496302
1665,0.496291
1669,0.496281
1673,0.49627
1677,0.496259
1681,0.496248
1685,0.496237
1689,0.496226
1693,0.496216
1697,0.496205
1701,0.496194
1705,0.496183
1709,0.496172
1713,0.496161
1717,0.49615
1721,0.496138
1725,0.496127
1729,0.496116
1733,0.496105
1737,0.496094
1741,0.496082
1745,0.496071
1749,0.49606
1753,0.496048
1757,0.496037
1761,0.496026
1765,0.496014
1769,0.496003
1773,0.495991
1777,0.49598
1781,0.495968
1785,0.495957
1789,0.495945
1793,0.495933
1797,0.495922
1801,0.49591
1805,0.495898
1809,0.495886
1813,0.495874
1817,0.495863
1821,0.495851
1825,0.495839
1829,0.495827
1833,0.495815
1837,0.495803
1841,0.495791
1845,0.495779
1849,0.495767
1853,0.495754
1857,0.495742
1861,0.49573
1865,0.495718
1869,0.495705
1873,0.495693
1877,0.495681
1881,0.495668
1885,0.495656
1889,0.495644
1893,0.495631
1897,0.495619
1901,0.495606
1905,0.495593
1909,0.495581
1913,0.495568
1917,0.495555
1921,0.495543
1925,0.49553
1929,0.495517
1933,0.495504
1937,0.495491
1941,0.495479
1945,0.495466
1949,0.495453
1953,0.49544
1957,0.495427
1961,0.495414
1965,0.4954
1969,0.495387
1973,0.495374
1977,0.495361
1981,0.495348
1985,0.495334
1989,0.495321
1993,0.495308
1997,0.495294
2001,0.495281
2005,0.495267
2009,0.495254
2013,0.49524
2017,0.495227
2021,0.495213
2025,0.4952
2029,0.495186
2033,0.495172
2037,0.495158
2041,0.495145
2045,0.495131
2049,0.495117
2053,0.495103
2057,0.495089
2061,0.495075
2065,0.495061
2069,0.495047
2073,0.495033
2077,0.495019
2081,0.495005
2085,0.494991
2089,0.494976
2093,0.494962
2097,0.494948
2101,0.494933
2105,0.494919
2109,0.494905
2113,0.49489
2117,0.494876
2121,0.494861
2125,0.494846
2129,0.494832
2133,0.494817
2137,0.494802
